10,(1,3,5,6,3,4,2,14,17,9),(38,39,39,40,40,41,41,43,43,43),(63),(47,46,43),(59,44,14,9,8),(56,45,40,15,13,10),(61,60,11),(58,57,42,12),(62,41),(31,27,26,25,24,21,7,6,5,4,3,2,1,0),(50,39,38,37,36,35,34,33,32,30,29,28,23,22,20,17,16),(55,54,53,52,51,49,48,19,18)
11,(1,2,4,1,1,14,8,10,12,11),(37,38,39,39,41,42,42,42,42,42),(50),(53,49),(55,54,51,48),(52),(21),(29,27,26,24,22,19,15,14,13,12,11,10,9,8),(31,30,28,25,23,20,18,17),(62,61,60,59,58,57,16,4,3,2),(63,56,43,41,38,35,32,7,6,5,1,0),(47,46,45,44,42,40,39,37,36,34,33)
12,(1,6,6,5,6,8,8,14,8,2),(36,36,37,37,38,38,39,39,40,40),(15),(35,34,33,11,7,1),(49,37,10,6,3,2),(52,51,50,13,4),(55,39,38,32,12,8),(54,53,48,36,14,9,5,0),(62,61,60,59,57,56,25,20),(63,58,31,30,29,28,27,26,24,21,19,18,17,16),(46,45,44,43,42,41,23,22),(47,40)
13,(10,2,2,3,5,10,1,10,8,13),(32,32,32,33,33,33,35,35,35,35),(55,52,49,48,6,4,3,2,1,0),(31,28),(50,15),(27,24,7),(51,12,11,10,8),(54,53,30,29,26,25,14,13,9,5),(34),(61,60,58,39,38,37,36,35,33,32),(63,62,59,56,22,21,20,19),(57,47,46,45,44,43,42,41,40,23,18,17,16)
14,(1,5,2,2,6,6,7,17,10,8),(34,35,35,36,37,37,38,38,38,38),(34),(39,38,37,35,32),(36,33),(57,56),(63,62,61,60,59,58),(15,14,13,12,11,10),(26,23,22,21,20,19,18),(54,31,30,28,27,25,24,17,16,9,8,7,6,5,3,2,1),(55,53,52,51,50,49,48,29,4,0),(47,46,45,44,43,42,41,40)
15,(2,3,5,4,3,6,9,22,9,1),(38,38,39,39,40,40,40,42,42,42),(36,20),(58,32,17),(63,60,56,45,41),(62,38,37,21),(40,18,16),(61,57,44,42,33,22),(59,47,46,43,39,35,34,23,19),(55,54,53,52,50,49,48,31,30,29,28,27,26,25,9,7,6,5,4,3,2,0),(51,24,15,14,13,12,11,10,1),(8)
16,(4,3,1,9,7,12,6,10,7,5),(12,12,12,13,13,13,13,13,13,13),(63,61,59,57),(62,60,58),(56),(51,50,49,48,7,5,4,2,1),(13,12,11,10,8,6,3),(23,22,21,20,19,18,17,16,15,14,9,0),(54,53,52,38,37,30),(47,42,36,35,33,32,27,26,25,24),(55,44,40,39,31,29,28),(46,45,43,41,34)
17,(6,2,7,5,10,3,3,8,16,4),(31,31,33,34,34,34,34,34,34,34),(30,29,27,26,25,24),(31,28),(47,46,45,44,43,42,41),(39,38,37,34,33),(55,54,53,51,50,48,40,36,35,23),(52,49,32),(59,6,4),(62,61,60,57,19,18,11,2),(63,58,56,22,21,20,15,13,12,10,9,7,5,3,1,0),(17,16,14,8)
18,(2,6,6,9,7,5,9,4,10,6),(45,46,46,46,46,46,46,46,46,46),(63,62),(22,21,20,19,18,17),(54,51,50,49,14,10),(55,53,52,48,46,42,13,11,9),(47,45,43,41,40,12,8),(61,59,58,15,6),(60,57,56,44,23,3,2,1,0),(35,24,16,7),(39,37,33,32,30,27,26,25,5,4),(38,36,34,31,29,28)
19,(1,2,2,2,1,7,10,12,15,12),(39,39,39,40,40,42,43,43,43,43),(52),(50,48),(54,51),(53,49),(55),(15,14,13,12,11,10,5),(34,33,9,7,6,4,3,2,1,0),(39,38,37,36,35,32,27,26,20,19,18,8),(61,56,45,42,41,30,29,28,25,24,23,22,21,17,16),(63,62,60,59,58,57,47,46,44,43,40,31)
20,(6,4,4,12,8,2,3,9,10,6),(1,1,1,1,1,1,1,1,1,1),(15,14,13,12,11,9),(22,19,18,10),(35,23,21,8),(39,36,34,33,31,29,27,20,17,2,1,0),(38,37,30,28,26,25,24,16),(43,32),(48,42,3),(60,59,54,53,51,46,45,44,41),(63,62,58,57,56,52,47,40,7,4),(61,55,50,49,6,5)
21,(2,4,2,3,1,10,13,6,13,10),(39,39,39,42,42,43,43,43,43,43),(52,50),(55,53,51,49),(54,48),(34,33,32),(7),(38,36,35,10,8,4,3,2,1,0),(58,57,56,39,37,15,14,13,12,11,9,6,5),(45,20,19,18,17,16),(63,61,60,42,30,29,28,26,25,24,23,22,21),(62,59,47,46,44,43,41,40,31,27)
22,(4,4,5,11,6,7,6,7,12,2),(1,1,1,1,1,1,1,1,1,1),(39,3,2,0),(27,24,7,5),(31,30,26,6,1),(28,25,23,19,15,13,12,11,10,8,4),(54,42,22,20,18,14),(44,41,29,21,17,16,9),(55,47,46,45,43,38),(63,53,40,37,36,34,32),(62,61,60,59,58,57,56,51,50,49,48,35),(52,33)
